account_id,name,industry,employee_count,region,tech_stack_tags
ACC-0001,Cummings PLC,Financial Services,7705,AMER,"dbt, Kubernetes, Kafka, Spark"
ACC-0002,Pennington-Johnson,Media & Entertainment,18785,APAC,"Spark, Snowflake, GCP"
ACC-0003,Ortega-Santiago,Telecommunications,4881,APAC,"Airflow, Spark"
ACC-0004,Stewart-Hill,Gaming,8809,LATAM,"Kubernetes, dbt"
ACC-0005,"Stanton, Leach and Gonzalez",Gaming,16371,AMER,"Spark, Kafka, Kubernetes, GCP"
ACC-0006,"Dyer, Bryant and Bailey",Retail & E-commerce,14033,AMER,"GCP, Azure"
ACC-0007,"Garcia, Flores and Wilson",Gaming,576,AMER,"Spark, Airflow, Snowflake"
ACC-0008,Campbell-Thornton,Manufacturing,14446,EMEA,"dbt, Snowflake, Kafka, AWS"
ACC-0009,Oconnor Group,Gaming,3686,APAC,"AWS, Snowflake, Azure"
ACC-0010,"Larsen, Hernandez and Hernandez",Retail & E-commerce,17874,AMER,"dbt, Kubernetes, Azure, Airflow"
ACC-0011,Williams-Deleon,Logistics,10276,EMEA,"Kafka, Airflow, AWS, dbt"
ACC-0012,Allen LLC,Healthcare,16124,AMER,"Kubernetes, GCP"
ACC-0013,Dillon-Calhoun,Retail & E-commerce,8885,LATAM,"Azure, Postgres, Airflow, Snowflake"
ACC-0014,"Norris, Estrada and Simmons",Manufacturing,13274,APAC,"dbt, Kubernetes"
ACC-0015,Cunningham LLC,Media & Entertainment,7562,AMER,"dbt, Airflow, GCP"
ACC-0016,Stewart Inc,Ad Tech,7416,AMER,"AWS, dbt, Kubernetes"
ACC-0017,Mccormick-Johnson,Healthcare,1229,APAC,"AWS, Kubernetes"
ACC-0018,"Baldwin, Simmons and Maxwell",Manufacturing,16106,EMEA,"dbt, Kubernetes"
ACC-0019,Richard Ltd,Telecommunications,13538,EMEA,"Azure, Airflow, Kubernetes, Spark"
ACC-0020,"Howard, Moore and Alvarez",Logistics,14079,LATAM,"GCP, Spark"
ACC-0021,"Wilkinson, Henry and Henry",Insurance,11318,AMER,"AWS, GCP, Postgres"
ACC-0022,Rubio Inc,Gaming,14900,EMEA,"Kubernetes, Postgres"
ACC-0023,Ramos-Rogers,Media & Entertainment,2670,LATAM,"Azure, Snowflake, Airflow"
ACC-0024,Young Inc,Media & Entertainment,5649,LATAM,"GCP, AWS, dbt, Airflow"
ACC-0025,Kim-Adkins,Financial Services,5594,LATAM,"Airflow, Kubernetes, Spark"
ACC-0026,Thompson Ltd,Telecommunications,9547,LATAM,"Spark, Snowflake"
ACC-0027,"Jackson, Ellis and Hayes",Manufacturing,7333,AMER,"dbt, Airflow, Azure, GCP"
ACC-0028,Garcia-Jones,Financial Services,19342,LATAM,"dbt, AWS, Kafka, Postgres"
ACC-0029,"Price, Smith and Munoz",Healthcare,6289,AMER,"dbt, Azure, AWS, Snowflake"
ACC-0030,"Andrews, Thompson and Taylor",Ad Tech,8267,AMER,"GCP, Kubernetes, Spark, AWS"
ACC-0031,Watson Group,Media & Entertainment,10495,EMEA,"GCP, Spark, Kafka, Azure"
ACC-0032,Wright-Perez,Telecommunications,10560,AMER,"Spark, Azure, Snowflake"
ACC-0033,Holt Group,Healthcare,17817,EMEA,"Airflow, GCP"
ACC-0034,Vaughn PLC,Media & Entertainment,12308,APAC,"Snowflake, Azure, Kafka, AWS"
ACC-0035,"Baker, Garcia and West",Manufacturing,17532,AMER,"Airflow, dbt"
ACC-0036,Jackson-Payne,Manufacturing,3982,AMER,"dbt, Snowflake, GCP, Airflow"
ACC-0037,Smith-Sanchez,Ad Tech,7101,APAC,"dbt, Azure, Snowflake, Postgres"
ACC-0038,Schmidt-Woods,Telecommunications,8428,AMER,"Snowflake, dbt"
ACC-0039,Simpson-Ferguson,Financial Services,316,APAC,"Spark, Snowflake"
ACC-0040,Fisher-Hall,Telecommunications,18277,LATAM,"Snowflake, Azure"
ACC-0041,Francis PLC,Retail & E-commerce,18077,AMER,"AWS, GCP, dbt, Kafka"
ACC-0042,Wolf Inc,Insurance,4376,AMER,"Postgres, dbt, Azure"
ACC-0043,Jordan Group,Media & Entertainment,8376,AMER,"Kafka, AWS, Postgres"
ACC-0044,Boyd Group,Media & Entertainment,5524,EMEA,"dbt, Spark, Azure"
ACC-0045,"Davis, Lawrence and Martinez",Insurance,8331,APAC,"AWS, Azure, Kafka"
ACC-0046,Davis PLC,Financial Services,15623,EMEA,"GCP, Spark"
ACC-0047,Alexander-Banks,Manufacturing,7657,EMEA,"Airflow, Kafka"
ACC-0048,"Sanders, Meza and Fisher",Logistics,9329,AMER,"Kubernetes, Spark"
ACC-0049,Smith-Carter,Gaming,11051,AMER,"Kafka, dbt, Spark"
ACC-0050,Gonzalez Group,Ad Tech,8898,AMER,"Snowflake, Azure"
ACC-0051,"Anderson, Zimmerman and Gordon",Logistics,10478,LATAM,"Postgres, Spark"
ACC-0052,"Blackburn, Armstrong and Vasquez",Media & Entertainment,8546,AMER,"dbt, GCP, Spark, Snowflake"
ACC-0053,Williams Group,Insurance,2492,APAC,"Spark, AWS, Kubernetes, Azure"
ACC-0054,Martin Group,Manufacturing,13582,APAC,"Kafka, GCP, Snowflake, Airflow"
ACC-0055,Clark-Little,Media & Entertainment,13977,LATAM,"Snowflake, dbt, Azure"
ACC-0056,"Fitzpatrick, Chen and Mccarty",Financial Services,10157,APAC,"Azure, Snowflake, Spark, dbt"
ACC-0057,Sutton-Daniels,Telecommunications,14676,LATAM,"Spark, Kafka"
ACC-0058,Barnett Group,Retail & E-commerce,2978,APAC,"Kubernetes, dbt, Airflow, Spark"
ACC-0059,Petersen LLC,Media & Entertainment,10371,EMEA,"Postgres, Kafka, GCP, Spark"
ACC-0060,"Wallace, Hull and Levine",Financial Services,8223,LATAM,"Azure, AWS"
ACC-0061,Bailey Inc,Ad Tech,6571,LATAM,"GCP, Airflow, Spark, Kafka"
ACC-0062,"Turner, Powell and Griffin",Financial Services,3692,LATAM,"Spark, Kubernetes, Azure"
ACC-0063,White Ltd,Telecommunications,1845,EMEA,"Azure, dbt"
ACC-0064,Wyatt Ltd,Telecommunications,17604,APAC,"Airflow, Azure"
ACC-0065,Shields LLC,Gaming,14811,EMEA,"Postgres, dbt, Spark"
ACC-0066,Woods-Brown,Media & Entertainment,9286,LATAM,"Airflow, Postgres, Snowflake, Spark"
ACC-0067,"Burgess, Krause and King",Manufacturing,7883,APAC,"Kubernetes, Snowflake, Airflow, AWS"
ACC-0068,Campbell Ltd,Retail & E-commerce,5142,EMEA,"Kafka, dbt, GCP"
ACC-0069,Brady Ltd,Insurance,13556,APAC,"Azure, Kubernetes, GCP"
ACC-0070,Vincent-Chavez,Insurance,12962,AMER,"Airflow, Spark, AWS, GCP"
ACC-0071,"Beck, Stone and Jones",Manufacturing,12979,LATAM,"Spark, Airflow, AWS, Azure"
ACC-0072,Martinez-Banks,Manufacturing,14481,LATAM,"dbt, Kubernetes, Airflow, GCP"
ACC-0073,Murillo PLC,Insurance,5608,LATAM,"Spark, Kafka"
ACC-0074,"Mills, Dunn and Chambers",Financial Services,13111,AMER,"Postgres, dbt"
ACC-0075,"Brown, Castro and House",Telecommunications,6154,AMER,"Spark, Azure"
ACC-0076,"Wolfe, Miller and Smith",Telecommunications,10910,APAC,"Spark, Kafka, Kubernetes"
ACC-0077,Park Ltd,Healthcare,15611,AMER,"Snowflake, Spark, Postgres"
ACC-0078,Fox-Cox,Healthcare,1519,AMER,"dbt, AWS, Kafka, GCP"
ACC-0079,Morgan-Oneal,Ad Tech,5193,EMEA,"Kubernetes, AWS"
ACC-0080,Edwards-Baker,Ad Tech,7342,LATAM,"Airflow, GCP"
ACC-0081,Davis and Sons,Ad Tech,3953,EMEA,"Snowflake, Kafka, Azure, Postgres"
ACC-0082,"Garcia, Bennett and Obrien",Ad Tech,12498,LATAM,"GCP, AWS, Snowflake"
ACC-0083,Gordon PLC,Manufacturing,19874,AMER,"Kubernetes, GCP, Postgres, AWS"
ACC-0084,Schmidt-Webb,Logistics,2459,APAC,"AWS, Kafka, Spark, dbt"
ACC-0085,Stewart Inc,Healthcare,14405,APAC,"Spark, Airflow"
ACC-0086,Powell LLC,Gaming,9050,LATAM,"Airflow, Azure, Spark, GCP"
ACC-0087,Rosales-Phillips,Media & Entertainment,3039,APAC,"Spark, Snowflake, Kafka"
ACC-0088,Clark Group,Logistics,1140,LATAM,"Kubernetes, Airflow, Spark"
ACC-0089,Mcmillan-Williams,Logistics,8665,APAC,"Azure, Airflow, Kubernetes"
ACC-0090,Forbes Inc,Gaming,6460,AMER,"Postgres, Snowflake, AWS"
ACC-0091,Cervantes Inc,Gaming,8074,LATAM,"Spark, Airflow"
ACC-0092,"Brown, Adams and Ayala",Manufacturing,7461,LATAM,"Airflow, Postgres, AWS, dbt"
ACC-0093,Shah-Burgess,Gaming,17597,APAC,"Kubernetes, Snowflake, Kafka, Postgres"
ACC-0094,Sanders Ltd,Telecommunications,9077,APAC,"dbt, Kafka, Postgres"
ACC-0095,"Bailey, Anderson and Kelly",Logistics,4117,EMEA,"Kubernetes, GCP, Postgres"
ACC-0096,Shaw and Sons,Manufacturing,19519,APAC,"Kubernetes, Airflow"
ACC-0097,"Cohen, Moran and Santana",Media & Entertainment,12025,EMEA,"Kubernetes, Snowflake"
ACC-0098,Wong PLC,Manufacturing,1691,AMER,"AWS, dbt, Azure"
ACC-0099,"Maxwell, Ochoa and King",Financial Services,19010,APAC,"Snowflake, Azure, Airflow, AWS"
ACC-0100,"Long, Lowery and Robertson",Retail & E-commerce,1883,APAC,"Airflow, Postgres, Kafka"
ACC-0101,"Hoover, Baldwin and Jones",Telecommunications,2627,AMER,"GCP, Postgres, Spark"
