activity_id,opportunity_id,se_id,activity_type,activity_date,notes
ACT-0001,OPP-0207,SE-006,RFP Work,2026-04-10,Drafted responses covering Governance Suite security and compliance questions.
ACT-0002,OPP-0002,SE-026,Internal Sync,2026-06-02,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0003,OPP-0291,SE-036,RFP Work,2026-04-15,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0004,OPP-0350,SE-021,POC Check-in,2026-05-15,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0005,OPP-0324,SE-007,RFP Work,2026-05-24,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0006,OPP-0042,SE-031,POC Check-in,2026-04-09,Reviewed POC progress against success criteria; ModelServe environment stable.
ACT-0007,OPP-0091,SE-037,POC Check-in,2026-04-01,Reviewed POC progress against success criteria; PipelineOps environment stable.
ACT-0008,OPP-0339,SE-014,Discovery Call,2026-05-15,Discussed current Governance Suite stack and pain points around scaling data pipelines.
ACT-0009,OPP-0055,SE-042,POC Check-in,2026-06-03,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0010,OPP-0044,SE-042,POC Check-in,2026-03-26,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0011,OPP-0072,SE-004,RFP Work,2026-06-24,Drafted responses covering PipelineOps security and compliance questions.
ACT-0012,OPP-0304,SE-017,Technical Demo,2026-04-01,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0013,OPP-0033,SE-036,RFP Work,2026-07-07,Drafted responses covering Governance Suite security and compliance questions.
ACT-0014,OPP-0274,SE-030,POC Check-in,2026-05-01,Reviewed POC progress against success criteria; Governance Suite environment stable.
ACT-0015,OPP-0174,SE-005,Discovery Call,2026-07-08,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0016,OPP-0208,SE-009,POC Check-in,2026-07-06,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0017,OPP-0348,SE-036,Technical Demo,2026-05-24,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0018,OPP-0037,SE-004,Technical Demo,2026-07-10,Walked through PipelineOps integration and answered questions on governance controls.
ACT-0019,OPP-0335,SE-003,Technical Demo,2026-04-15,Walked through Governance Suite integration and answered questions on governance controls.
ACT-0020,OPP-0125,SE-010,RFP Work,2026-06-07,Drafted responses covering Lakehouse Core security and compliance questions.
ACT-0021,OPP-0324,SE-005,Discovery Call,2026-06-08,Discussed current PipelineOps stack and pain points around scaling data pipelines.
ACT-0022,OPP-0234,SE-041,POC Check-in,2026-04-09,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0023,OPP-0055,SE-009,Technical Demo,2026-06-29,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0024,OPP-0033,SE-014,RFP Work,2026-04-08,Drafted responses covering PipelineOps security and compliance questions.
ACT-0025,OPP-0348,SE-027,RFP Work,2026-05-15,Drafted responses covering ModelServe security and compliance questions.
ACT-0026,OPP-0295,SE-036,POC Check-in,2026-04-17,Reviewed POC progress against success criteria; Lakehouse Core environment stable.
ACT-0027,OPP-0110,SE-004,Technical Demo,2026-03-23,Walked through ModelServe integration and answered questions on governance controls.
ACT-0028,OPP-0172,SE-006,Internal Sync,2026-07-04,Synced with AE on deal strategy and next steps involving PipelineOps.
ACT-0029,OPP-0073,SE-028,Discovery Call,2026-07-04,Discussed current ModelServe stack and pain points around scaling data pipelines.
ACT-0030,OPP-0284,SE-012,Technical Demo,2026-07-10,Walked through ModelServe integration and answered questions on governance controls.
ACT-0031,OPP-0298,SE-004,RFP Work,2026-03-17,Drafted responses covering PipelineOps security and compliance questions.
ACT-0032,OPP-0324,SE-041,Technical Demo,2026-06-20,Walked through Lakehouse Core integration and answered questions on governance controls.
ACT-0033,OPP-0009,SE-033,RFP Work,2026-05-13,Drafted responses covering PipelineOps security and compliance questions.
ACT-0034,OPP-0004,SE-013,Discovery Call,2026-05-15,Discussed current Lakehouse Core stack and pain points around scaling data pipelines.
ACT-0035,OPP-0214,SE-032,Discovery Call,2026-06-28,Discussed current ModelServe stack and pain points around scaling data pipelines.
